dbcellid,x,y,z,goog14r0seg1_baseid,google_aggloid,dbcelltype,dbsubcelltype,dbsubcelltype2,dbsubcelltype3,nrvoxels,circulardepth
19757,350153,198293,2432,5090011378,40886408606,MG_OPC,0,0,0,74,1257
9586,305678,210212,2432,5701823052,40492969514,PYRAMIDAL,0,0,0,330,1616
7502,217763,165724,2432,39746565884,48597341251,OLIGO,0,0,0,75,1915
31916,140065,273326,2432,43179568514,52175797695,OLIGO,0,0,0,75,2977
43025,434872,169635,2432,39724708392,48721055671,MG_OPC,0,0,0,75,547
14690,304867,177954,2432,4288401882,40200745424,PYRAMIDAL,0,0,0,331,1483
7497,264933,203152,2432,41000047217,41000062883,OLIGO,0,0,0,76,1860
34157,93069,284676,2432,43760163362,52552708968,OLIGO,0,0,0,76,3173
36313,162222,178263,2432,39933868718,40152327971,MG_OPC,0,0,0,76,2225
36616,134181,219586,2432,41577955068,41577926170,OLIGO,0,0,0,76,2613
49346,251636,87523,2432,1724949036,45992713551,BLOODVESSELCELL,0,0,0,76,1246
26174,359022,99809,2432,2368370819,37538618341,PYRAMIDAL,0,0,0,332,754
16973,321316,116381,2432,2410070279,38090492201,PYRAMIDAL,0,0,0,1100,1067
43029,441513,189653,2432,31689137607,40510959823,INTERNEURON,0,0,0,77,561
14100,291312,145298,2432,3065363210,39050099299,PYRAMIDAL,0,0,0,1101,1400
29,254643,159892,2432,30780617801,39587707555,UNKNOWN0,0,0,0,79,1690
34683,116504,279541,2432,43513551465,52393383792,MG_OPC,0,0,0,79,3113
48873,435954,237437,2432,50962936844,50992007268,UNCLASSIFIEDNEURON,0,0,0,79,723
23181,312249,55774,2432,27186831203,36052236463,ASTROCYTE,0,0,0,335,757
14291,289267,114951,2432,29165645699,38060266332,INTERNEURON,0,0,256,1359,1238
42927,429593,119262,2432,29403569316,38210556128,ASTROCYTE,0,0,0,80,392
24239,419015,205988,2432,5908047195,41136232075,PYRAMIDAL,0,0,0,592,776
34111,88353,277163,2432,43497988138,52319632498,OLIGO,0,0,0,81,3106
39579,427155,124171,2432,29388735575,38370627681,ASTROCYTE,0,0,0,81,429
12436,192753,223690,2432,6322307533,41638184370,ASTROCYTE,0,0,0,337,2401
23177,306144,52775,2432,27244898913,35935588983,PYRAMIDAL,0,0,0,593,768
43021,440104,151935,2432,48124385668,48124385754,UNCLASSIFIEDNEURON,0,0,0,82,447
6566,212531,201336,2432,5507745427,40663567366,INTERNEURON,0,0,0,338,2162
10741,185859,275056,2432,43239242866,43370227344,MG_OPC,0,0,0,83,2705
31012,117026,231310,2432,41854045538,41941301357,MG_OPC,0,0,0,83,2738
47726,84192,185628,2432,40353528489,40411713672,MG_OPC,0,0,0,83,2378
23370,430843,230520,2432,41922699482,41922699893,UNCLASSIFIEDNEURON,0,0,0,339,747
26987,294500,248366,2432,7126061907,42500547658,PYRAMIDAL,0,0,0,595,1828
2093,167690,173696,2432,39817673397,40065130691,MG_OPC,0,0,0,85,2174
18987,301625,69123,2432,36503085802,36503085802,MG_OPC,0,0,0,85,894
26526,358963,83709,2432,36868928252,36970917162,MG_OPC,0,0,0,85,668
26513,346983,90414,2432,1567403286,37116137636,PYRAMIDAL,0,0,0,341,775
9578,302379,218683,2432,5845276751,41437931503,PYRAMIDAL,0,0,0,1109,1671
3416,205707,128426,2432,29178173840,37694396180,PYRAMIDAL,0,0,0,1365,1714
9768,277876,222853,2432,15306973688,41597345120,ASTROCYTE,0,0,0,342,1859
29942,120403,239729,2432,33061425641,42218004963,ASTROCYTE,0,0,0,342,2799
48758,422126,244483,2432,42271765389,42402780216,INTERNEURON,0,0,0,342,844
42560,238904,229118,2432,5671057811,41408102192,PYRAMIDAL,2,0,0,598,2150
17563,166245,240012,2432,42175880357,42248682362,OLIGO,0,0,0,87,2638
20913,361815,197380,2432,4667808300,40173952088,PYRAMIDAL,0,0,0,1623,1170
